Code_ATC2,Libelle_ATC2,Taux_de_remboursement,date,Base_de_remboursement,Montant_remboursé,Nombre_de_boites_remboursées
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2021-08-01,2779001.03,543915.17,1283852.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2021-09-01,3687258.57,697291.17,1736026.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2021-10-01,3846740.03,725504.82,1811920.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2021-11-01,3764779.75,709893.67,1769467.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2021-12-01,3803016.87,717082.59,1783148.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2022-01-01,3389075.87,636178.81,1589681.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2022-02-01,3581167.18,666239.55,1682095.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2022-03-01,4144419.62,779327.57,1979229.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2022-04-01,3452429.34,654237.18,1679685.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2022-05-01,3711024.06,702597.2,1804771.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2022-06-01,3615010.36,692430.6,1750727.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2022-07-01,3361645.67,642580.33,1626700.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2022-08-01,2683455.08,531140.94,1271185.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2022-09-01,3617527.55,682946.56,1756081.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2022-10-01,3649586.52,693072.36,1767142.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2022-11-01,3596576.33,693927.47,1730558.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2022-12-01,3610691.02,688809.47,1742919.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2023-01-01,3566119.85,674950.14,1727366.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2023-02-01,3284295.37,580910.23,1612722.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2023-03-01,3701065.38,626647.42,1831252.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2023-04-01,3111765.88,547690.7,1527887.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2023-05-01,3347665.8,591236.73,1636637.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2023-06-01,3682249.89,673948.3,1785842.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2023-07-01,3366507.52,634466.8,1625651.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2023-08-01,2579692.09,477335.47,1233574.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2023-09-01,3317895.04,568078.05,1631479.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2023-10-01,3685351.57,613951.56,1817916.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2023-11-01,3352892.82,553597.32,1654461.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2023-12-01,3233632.41,528035.45,1597638.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2024-01-01,3280675.41,532343.93,1622068.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2024-02-01,3422349.9,550561.88,1694779.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2024-03-01,3333917.11,538315.25,1647738.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2024-04-01,3452121.95,562581.2,1697888.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2024-05-01,3099286.12,507205.73,1522058.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2024-06-01,3235129.39,528663.11,1588469.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2024-07-01,3605147.81,594620.03,1761317.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2024-08-01,2239281.58,370602.38,1081306.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2024-09-01,3203579.33,518257.94,1576853.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2024-10-01,3673263.55,591531.82,1808341.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2024-11-01,3121815.16,503110.94,1533954.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2024-12-01,3298945.43,530322.41,1619900.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2021-01-01,11304609.25,11304609.25,2479791.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2021-02-01,10669724.93,10669724.93,2352916.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2021-03-01,12558503.3,12558503.3,2770318.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2021-04-01,11731975.84,11731975.84,2585699.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2021-05-01,10974324.58,10974324.58,2416438.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2021-06-01,12342504.33,12342504.33,2718914.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2021-07-01,11857138.42,11857138.42,2606999.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2021-08-01,11626185.57,11626185.57,2552429.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2021-09-01,11643531.56,11643531.56,2564975.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2021-10-01,11492071.41,11492071.41,2532616.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2021-11-01,12142154.88,12142154.88,2675166.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2021-12-01,12392971.47,12392971.47,2728510.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2022-01-01,11412690.86,11412690.86,2514771.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2022-02-01,11214204.75,11214204.75,2471681.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2022-03-01,13061601.27,13061601.27,2897177.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2022-04-01,10710626.95,10710626.95,2549779.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2022-05-01,11550752.02,11550752.02,2755720.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2022-06-01,10860092.04,10860092.04,2702678.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2022-07-01,10080127.07,10080127.07,2575959.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2022-08-01,10332666.36,10332666.36,2671499.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2022-09-01,10154278.1,10154278.1,2634217.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2022-10-01,9948615.02,9948615.02,2588800.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2022-11-01,10361820.18,10361820.18,2693533.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2022-12-01,10471664.14,10471664.14,2723146.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2023-01-01,10709466.8,10709466.8,2788783.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2023-02-01,9522647.47,9522647.47,2478521.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2023-03-01,10851583.69,10851583.69,2824849.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2023-04-01,9484772.24,9484772.24,2466064.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2023-05-01,10717087.86,10717087.86,2789579.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2023-06-01,10836676.04,10836676.04,2821066.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2023-07-01,10088609.83,10088609.83,2621893.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2023-08-01,10385778.67,10385778.67,2691403.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2023-09-01,9748901.81,9748901.81,2515960.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2023-10-01,10670462.21,10670462.21,2756494.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2023-11-01,10118894.29,10118894.29,2612305.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2023-12-01,10038944.05,10038944.05,2591995.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2024-01-01,10959327.54,10959327.54,2827983.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2024-02-01,10067052.99,10067052.99,2587291.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2024-03-01,10185714.2,10185714.2,2603456.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2024-04-01,10570888.2,10570888.2,2743622.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2024-05-01,10423016.24,10423016.24,2689004.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2024-06-01,9713024.65,9713024.65,2484293.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2024-07-01,11277198.59,11277198.59,2857795.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2024-08-01,9778600.74,9778600.74,2468571.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2024-09-01,9970453.89,9970453.89,2512065.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2024-10-01,11306734.65,11306734.65,2828242.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2024-11-01,10186639.23,10186639.23,2527259.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,100%,2024-12-01,11285345.14,11285345.14,2779534.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2021-01-01,22669192.48,13230269.48,5508050.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2021-02-01,21774341.85,12694413.61,5317113.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2021-03-01,25345508.33,14813661.1,6183825.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2021-04-01,23142652.48,13550117.18,5639848.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2021-05-01,21504238.72,12601276.71,5230209.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2021-06-01,24117866.33,14139127.44,5867551.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2021-07-01,22706579.73,13350858.05,5504471.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2021-08-01,21574316.57,12709060.68,5241226.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2021-09-01,22482174.06,13193172.73,5501137.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2021-10-01,22637350.21,13265922.44,5541611.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2021-11-01,23682184.8,13862152.32,5797542.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2021-12-01,24416791.56,14275488.28,5972505.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2022-01-01,22374132.16,13067335.1,5477982.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2022-02-01,22166002.82,12930054.26,5432667.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2022-03-01,25906644.77,15115552.65,6380727.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2022-04-01,21422987.09,12458942.05,5508346.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2022-05-01,22836450.97,13305265.11,5854594.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2022-06-01,21184534.33,12271299.68,5684221.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2022-07-01,19298021.84,11155428.36,5326108.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2022-08-01,18993081.04,11021449.93,5304815.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2022-09-01,19819563.57,11454536.42,5560312.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2022-10-01,19780031.1,11387898.5,5572809.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2022-11-01,20471284.28,11783325.75,5757113.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2022-12-01,20629538.22,11869726.74,5801014.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2023-01-01,21284104.88,12228768.62,6017830.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2023-02-01,19089642.19,10969763.29,5393301.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2023-03-01,21787067.19,12521376.89,6154180.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2023-04-01,18672457.89,10764236.77,5263633.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2023-05-01,20591990.76,11838862.51,5813095.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2023-06-01,20805849.34,11956809.17,5882280.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2023-07-01,18913828.77,10897877.51,5340028.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2023-08-01,18834566.98,10928943.17,5286148.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2023-09-01,18482391.27,10766663.16,5165047.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2023-10-01,20417513.21,11849709.07,5714695.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2023-11-01,19488187.1,11312634.88,5446228.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2023-12-01,19451146.97,11250419.95,5439981.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2024-01-01,21115975.88,12221061.78,5933068.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2024-02-01,19759373.79,11427050.75,5540618.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2024-03-01,19614670.05,11389399.76,5489639.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2024-04-01,20197962.4,11727290.07,5695520.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2024-05-01,19343285.44,11264418.71,5435953.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2024-06-01,18356295.4,10636029.57,5122743.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2024-07-01,20706694.39,11977322.32,5740345.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2024-08-01,16994843.38,9879702.23,4713556.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2024-09-01,18364586.28,10615767.15,5104285.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2024-10-01,21141480.53,12137405.19,5819116.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2024-11-01,19077005.18,10881124.45,5197001.0
A02,MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE,non à 100%,2024-12-01,21215436.85,12010568.62,5697507.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2021-01-01,1572593.28,1572593.28,667690.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2021-02-01,1510384.95,1510384.95,648985.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2021-03-01,1762160.76,1762160.76,763706.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2021-04-01,1639999.63,1639999.63,706784.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2021-05-01,1515582.39,1515582.39,657408.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2021-06-01,1734542.89,1734542.89,760727.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2021-07-01,1684297.24,1684297.24,733357.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2021-08-01,1641620.59,1641620.59,719520.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2021-09-01,1659818.06,1659818.06,734995.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2021-10-01,1628544.27,1628544.27,709899.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2021-11-01,1662594.08,1662594.08,715106.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2021-12-01,1707714.81,1707714.81,736522.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2022-01-01,1558354.19,1558354.19,680223.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2022-02-01,1539611.02,1539611.02,674536.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2022-03-01,1806659.54,1806659.54,785159.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2022-04-01,1572708.31,1572708.31,684930.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2022-05-01,1713192.32,1713192.32,746646.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2022-06-01,1683309.26,1683309.26,728470.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2022-07-01,1628524.66,1628524.66,719258.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2022-08-01,1681105.26,1681105.26,747004.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2022-09-01,1655053.66,1655053.66,738360.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2022-10-01,1594229.42,1594229.42,705533.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2022-11-01,1624660.01,1624660.01,713904.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2022-12-01,1630558.69,1630558.69,706390.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2023-01-01,1667732.12,1667732.12,724120.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2023-02-01,1478231.26,1478231.26,652373.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2023-03-01,1700171.35,1700171.35,738331.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2023-04-01,1463636.12,1463636.12,637279.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2023-05-01,1645382.38,1645382.38,713288.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2023-06-01,1706337.54,1706337.54,737952.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2023-07-01,1609147.43,1609147.43,698187.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2023-08-01,1636719.36,1636719.36,712139.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2023-09-01,1566940.53,1566940.53,678537.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2023-10-01,1702038.0,1702038.0,737018.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2023-11-01,1595728.03,1595728.03,688028.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2023-12-01,1566923.75,1566923.75,673623.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2024-01-01,1702279.72,1702279.72,733245.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2024-02-01,1562317.67,1562317.67,671486.0
A03,MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX,100%,2024-03-01,1562665.13,1562665.13,670350.0
